So,Ed,Po1,Po2,LF,M.F,Pop,U1,U2,GDP,Ineq,Time,y
Yes,91,58,56,510,950,33,108,41,394,261,26.2011,791
No,113,103,95,583,1012,13,96,36,557,194,25.2999,1635
Yes,89,45,44,533,969,18,94,33,318,250,24.3006,578
No,121,149,141,577,994,157,102,39,673,167,29.9012,1969
No,121,109,101,591,985,18,91,20,578,174,21.2998,1234
No,110,118,115,547,964,25,84,29,689,126,20.9995,682
Yes,111,82,79,519,982,4,97,38,620,168,20.6993,963
Yes,109,115,109,542,969,50,79,35,472,206,24.5988,1555
Yes,90,65,62,553,955,39,81,28,421,239,29.4001,856
No,118,71,68,632,1029,7,100,24,526,174,19.5994,705
No,105,121,116,580,966,101,77,35,657,170,41.6,1674
No,108,75,71,595,972,47,83,31,580,172,34.2984,849
No,113,67,60,624,972,28,77,25,507,206,36.2993,511
No,117,62,61,595,986,22,77,27,529,190,21.501,664
Yes,87,57,53,530,986,30,92,43,405,264,22.7008,798
Yes,88,81,77,497,956,33,116,47,427,247,26.0991,946
No,110,66,63,537,977,10,114,35,487,166,19.1002,539
Yes,104,123,115,537,978,31,89,34,631,165,18.1996,929
No,116,128,128,536,934,51,78,34,627,135,24.9008,750
No,108,113,105,567,985,78,130,58,626,166,26.401,1225
No,108,74,67,602,984,34,102,33,557,195,37.5998,742
Yes,89,47,44,512,962,22,97,34,288,276,37.0994,439
No,96,87,83,564,953,43,83,32,513,227,25.1989,1216
No,116,78,73,574,1038,7,142,42,540,176,17.6,968
No,116,63,57,641,984,14,70,21,486,196,21.9003,523
No,121,160,143,631,1071,3,102,41,674,152,22.1005,1993
No,109,69,71,540,965,6,80,22,564,139,28.4999,342
No,112,82,76,571,1018,10,103,28,537,215,25.8006,1216
No,107,166,157,521,938,168,92,36,637,154,36.7009,1043
Yes,89,58,54,521,973,46,72,26,396,237,28.3011,696
No,93,55,54,535,1045,6,135,40,453,200,21.7998,373
No,109,90,81,586,964,97,105,43,617,163,30.9014,754
Yes,104,63,64,560,972,23,76,24,462,233,25.5005,1072
No,118,97,97,542,990,18,102,35,589,166,21.6997,923
No,102,97,87,526,948,113,124,50,572,158,37.4011,653
No,100,109,98,531,964,9,87,38,559,153,44.0004,1272
Yes,87,58,56,638,974,24,76,28,382,254,31.6995,831
No,104,51,47,599,1024,7,99,27,425,225,16.6999,566
Yes,88,61,54,515,953,36,86,35,395,251,27.3004,826
Yes,104,82,74,560,981,96,88,31,488,228,29.3004,1151
No,122,72,66,601,998,9,84,20,590,144,30.0001,880
No,109,56,54,523,968,4,107,37,489,170,12.1996,542
Yes,99,75,70,522,996,40,73,27,496,224,31.9989,823
No,121,95,96,574,1012,29,111,37,622,162,30.0001,1030
Yes,88,46,41,480,968,19,135,53,457,249,32.5996,455
No,104,106,97,599,989,40,78,25,593,171,16.6999,508
No,121,90,91,623,1049,3,113,40,588,160,16.0997,849
